scan_date,ticker,price,market_cap,float_shares,rel_volume,dollar_volume,vol_expansion_score,compression_score,breakout_score,trend_score,news_score,short_interest_score,premarket_gap_score,social_score,insider_score,total_score,reason,repeat_count_30d,scan_time_utc,event_intel_score,sec_insider_score,event_tags,event_intel_reason,anomaly_score,anomaly_label,anomaly_flags,baseline_sample_size
2026-03-15,CION,6.55,341168576,,2.94,11726321.24,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.93,"unusual volume, multi-day volume expansion, elevated news flow",1,,,,,,,,,
2026-03-15,CERS,1.69,324770304,171815020.0,2.37,8043210.51,3.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,7.84,"unusual volume, multi-day volume expansion, short squeeze potential",1,,,,,,,,,
2026-03-15,ANGX,3.7,623942400,87255564.0,2.26,6049407.58,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.32,"unusual volume, multi-day volume expansion, short squeeze potential",1,,,,,,,,,
2026-03-15,EGY,5.39,561952000,101526440.0,1.6,12182402.24,0.44,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,7.24,"trend improving, elevated news flow",1,,,,,,,,,
2026-03-15,ASTL,3.46,363070944,71139871.0,1.75,9555963.05,3.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,6.9,multi-day volume expansion,1,,,,,,,,,
2026-03-15,ABTC,1.04,964709184,191049525.0,1.53,25106057.72,2.09,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.74,"multi-day volume expansion, elevated news flow",1,,,,,,,,,
2026-03-15,ADPT,13.17,2027937280,116831970.0,2.03,51259023.15,2.81,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,6.21,"unusual volume, multi-day volume expansion",1,,,,,,,,,
2026-03-15,ENGN,7.16,479644544,26439402.0,1.59,5665464.44,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,4.31,short squeeze potential,1,,,,,,,,,
2026-03-15,BSBR,5.72,43529801728,3735623127.0,2.28,12848486.61,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,unusual volume,1,,,,,,,,,
2026-03-15,BLND,1.56,405205152,219316192.0,1.79,9786470.88,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,mixed setup,1,,,,,,,,,
2026-03-15,AVO,12.15,860783360,40103025.0,5.09,33012666.76,3.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,15.2,"unusual volume, multi-day volume expansion, elevated news flow, short squeeze potential",2,,,,,,,,,
2026-03-15,ABX,9.8,957977984,43884579.0,1.8,11379662.22,3.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,14.96,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential",2,,,,,,,,,
2026-03-15,FTK,17.68,531422336,14029568.0,1.89,9768642.17,3.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,13.87,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential",2,,,,,,,,,
2026-03-15,BGC,9.57,4538687488,361918846.0,2.09,47748948.85,3.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,13.51,"unusual volume, multi-day volume expansion, trend improving, elevated news flow",2,,,,,,,,,
2026-03-15,ALH,19.75,4005831936,45442270.0,2.8,35095513.0,3.0,0.0,0.0,1.0,3.0,1.5,0.0,0.0,0.0,13.06,"unusual volume, multi-day volume expansion, elevated news flow, short squeeze potential",2,,,,,,,,,
2026-03-15,ACDC,6.35,1148531968,32661624.0,1.93,17500085.39,3.0,0.0,0.0,3.0,2.5,1.0,0.0,0.0,0.0,12.71,"multi-day volume expansion, trend improving, elevated news flow, short squeeze potential",2,,,,,,,,,
